Jour;Visites;Visiteurs uniques;Pages vues
01/01/2012;906;807;2184
02/01/2012;1655;1404;4234
03/01/2012;1728;1484;4574
04/01/2012;1604;1370;4123
05/01/2012;1885;1578;4663
06/01/2012;1428;1219;3827
07/01/2012;1245;1088;3517
08/01/2012;1403;1237;3979
09/01/2012;1640;1413;4566
10/01/2012;1556;1331;4244
11/01/2012;1515;1318;4262
12/01/2012;1398;1220;3828
13/01/2012;1310;1148;3501
14/01/2012;1153;1003;2853
15/01/2012;1474;1311;3989
16/01/2012;1695;1442;4689
17/01/2012;1569;1365;4190
18/01/2012;1555;1385;4283
19/01/2012;1613;1400;4402
20/01/2012;1566;1361;4279
21/01/2012;1420;1257;3915
22/01/2012;1517;1338;4377
23/01/2012;1717;1506;5069
24/01/2012;1657;1431;4678
25/01/2012;1669;1482;4802
26/01/2012;1672;1426;4872
27/01/2012;1617;1431;4321
28/01/2012;1347;1196;3496
29/01/2012;1532;1360;4200
30/01/2012;2067;1799;5600
31/01/2012;1706;1453;4501
01/02/2012;2025;1712;5772
02/02/2012;2021;1690;5734
03/02/2012;1673;1421;4594
04/02/2012;1709;1441;4600
05/02/2012;2272;1953;5134
06/02/2012;1946;1634;5657
07/02/2012;1789;1501;4792
08/02/2012;2018;1677;5557
09/02/2012;1847;1552;5516
10/02/2012;1702;1443;4759
11/02/2012;1413;1213;3797
12/02/2012;1791;1587;5087
13/02/2012;2156;1835;5894
14/02/2012;1753;1499;4898
15/02/2012;1990;1681;5632
16/02/2012;1855;1581;5117
17/02/2012;1904;1629;5341
18/02/2012;1593;1381;4632
19/02/2012;2131;1830;5801
20/02/2012;2260;1934;6838
21/02/2012;2000;1731;5887
22/02/2012;1999;1708;5999
23/02/2012;2059;1762;6206
24/02/2012;1987;1689;5546
25/02/2012;1704;1463;4733
26/02/2012;2095;1812;6215
27/02/2012;2202;1855;6362
28/02/2012;2088;1790;5823
29/02/2012;1947;1709;5430
01/03/2012;2085;1763;5818
02/03/2012;1995;1734;5658
03/03/2012;1713;1495;4689
04/03/2012;2069;1772;5880
05/03/2012;2339;2001;6212
06/03/2012;2143;1805;5901
07/03/2012;2359;1939;6881
08/03/2012;2076;1746;5826
09/03/2012;2107;1779;5635
10/03/2012;1816;1569;5246
11/03/2012;2083;1753;6033
12/03/2012;2331;1961;6181
13/03/2012;2245;1879;5986
14/03/2012;2119;1791;5596
15/03/2012;2105;1796;5785
16/03/2012;1904;1615;5287
17/03/2012;1796;1540;5089
18/03/2012;2070;1787;6129
19/03/2012;2230;1934;5892
20/03/2012;2075;1786;6014
21/03/2012;1910;1659;5343
22/03/2012;1896;1589;4963
23/03/2012;1859;1622;4737
24/03/2012;1669;1459;4526
25/03/2012;1911;1671;4942
26/03/2012;2265;1984;6273
27/03/2012;2178;1902;6240
28/03/2012;2256;1977;6245
29/03/2012;2225;1936;5815
30/03/2012;2137;1876;5579
31/03/2012;2298;2026;6183
01/04/2012;2660;2372;7127
02/04/2012;2530;2220;7253
03/04/2012;2406;2111;6776
04/04/2012;2337;2026;7240
05/04/2012;2340;2050;6522
06/04/2012;2316;2032;6601
07/04/2012;1954;1704;5328
08/04/2012;2128;1847;5662
09/04/2012;2826;2504;8108
10/04/2012;2829;2473;7939
11/04/2012;2693;2345;7772
12/04/2012;2599;2243;7641
13/04/2012;2493;2224;7346
14/04/2012;2396;2115;6611
15/04/2012;3122;2711;9103
16/04/2012;2829;2438;8924
17/04/2012;2927;2528;8782
18/04/2012;2893;2440;9000
19/04/2012;2696;2316;8089
20/04/2012;2546;2245;7572
21/04/2012;2521;2137;7721
22/04/2012;2458;2114;8056
23/04/2012;3062;2641;8840
24/04/2012;2790;2387;8088
25/04/2012;3478;2934;9529
26/04/2012;2677;2285;7523
27/04/2012;2595;2209;7412
28/04/2012;2448;2112;7198
29/04/2012;2758;2395;7855
30/04/2012;2506;2149;7104
01/05/2012;2439;2113;6494
02/05/2012;2233;1938;5788
03/05/2012;2115;1813;5292
04/05/2012;2234;1930;5769
05/05/2012;1970;1705;4882
06/05/2012;2159;1852;5323
07/05/2012;2314;1971;5833
08/05/2012;2263;1941;6445
09/05/2012;2515;2135;8033
10/05/2012;2281;1960;6262
11/05/2012;2195;1883;6669
12/05/2012;1815;1527;5111
13/05/2012;2076;1812;5334
14/05/2012;2535;2182;7345
15/05/2012;2535;2185;7041
16/05/2012;2485;2143;6817
17/05/2012;2250;1926;5913
18/05/2012;2603;2227;6857
19/05/2012;2324;1970;6011
20/05/2012;2496;2125;6764
21/05/2012;2736;2362;7989
22/05/2012;2619;2231;7162
23/05/2012;2536;2136;6800
24/05/2012;2322;2016;6029
25/05/2012;2405;2083;6252
26/05/2012;2209;1862;5004
27/05/2012;2136;1864;5008
28/05/2012;2385;2075;5877
29/05/2012;2420;2089;6612
30/05/2012;2352;2001;6775
31/05/2012;2270;1957;6345
01/06/2012;2128;1811;5621
02/06/2012;1962;1706;4896
03/06/2012;2417;2068;6400
04/06/2012;2847;2478;7806
05/06/2012;2541;2193;7410
06/06/2012;2435;2142;6860
07/06/2012;2626;2249;7667
08/06/2012;2542;2151;6741
09/06/2012;2028;1762;5493
10/06/2012;2615;2288;7160
11/06/2012;2787;2389;8410
12/06/2012;2655;2297;7140
13/06/2012;2639;2272;7222
14/06/2012;2484;2149;6970
15/06/2012;2418;2090;6475
16/06/2012;2184;1869;5713
17/06/2012;2439;2120;6119
18/06/2012;2831;2462;8037
19/06/2012;2767;2393;7975
20/06/2012;2694;2348;7478
21/06/2012;2873;2494;7784
22/06/2012;2523;2207;6755
23/06/2012;2034;1793;5232
24/06/2012;2865;2493;8148
25/06/2012;3061;2654;8502
26/06/2012;2926;2508;8111
27/06/2012;2921;2522;8139
28/06/2012;2935;2526;7421
29/06/2012;3067;2655;8282
30/06/2012;2825;2468;7401
01/07/2012;3580;3147;9770
02/07/2012;4266;3663;11618
03/07/2012;751;643;1834
04/07/2012;3005;2636;9585
05/07/2012;4337;3733;12367
06/07/2012;4499;3900;12709
07/07/2012;4597;3951;12045
08/07/2012;5054;4300;12939
09/07/2012;4244;3685;12056
10/07/2012;3622;3178;10609
11/07/2012;3762;3256;10621
12/07/2012;3883;3386;10745
13/07/2012;4374;3846;11630
14/07/2012;6429;5592;13959
15/07/2012;3468;3007;9644
16/07/2012;3228;2796;9290
17/07/2012;3099;2654;8815
18/07/2012;3101;2643;8671
19/07/2012;3000;2556;8669
20/07/2012;2737;2384;7676
21/07/2012;2283;1972;6134
22/07/2012;2715;2383;7711
23/07/2012;3664;3191;10370
24/07/2012;3049;2657;8398
25/07/2012;3138;2753;8451
26/07/2012;3154;2702;9002
27/07/2012;3061;2639;8300
28/07/2012;2365;2055;6690
29/07/2012;3107;2684;9493
30/07/2012;3309;2878;10002
31/07/2012;3277;2828;9404
01/08/2012;3344;2879;9496
02/08/2012;3320;2811;9993
03/08/2012;3165;2705;9091
04/08/2012;2706;2324;7447
05/08/2012;3192;2771;9874
06/08/2012;3436;2940;10187
07/08/2012;3145;2688;9335
08/08/2012;3203;2750;9438
09/08/2012;3145;2736;8813
10/08/2012;3034;2643;9165
11/08/2012;2348;2072;6156
12/08/2012;2841;2507;7913
13/08/2012;3538;3072;10430
14/08/2012;3274;2857;9626
15/08/2012;3515;3053;10231
16/08/2012;3215;2783;9319
17/08/2012;3105;2708;8848
18/08/2012;2602;2260;6479
19/08/2012;3613;2991;8761
20/08/2012;3129;2647;8632
21/08/2012;2999;2570;8256
22/08/2012;2642;2256;7572
23/08/2012;2594;2267;7536
24/08/2012;2663;2240;7320
25/08/2012;2215;1888;5714
26/08/2012;2260;1941;6068
27/08/2012;2878;2471;8021
28/08/2012;2692;2310;7676
29/08/2012;2803;2394;7908
30/08/2012;2617;2218;7699
31/08/2012;2365;2021;6574
01/09/2012;2086;1774;5673
02/09/2012;2143;1877;5799
03/09/2012;3048;2553;8928
04/09/2012;3039;2604;8206
05/09/2012;2701;2313;8188
06/09/2012;2459;2146;6515
07/09/2012;2281;1981;6314
08/09/2012;2011;1762;5021
09/09/2012;2277;1974;5452
10/09/2012;2561;2196;7059
11/09/2012;2543;2195;6996
12/09/2012;2426;2069;6824
13/09/2012;2257;1949;6031
14/09/2012;2247;1953;6064
15/09/2012;2038;1771;5162
16/09/2012;2086;1821;5042
17/09/2012;2440;2116;6292
18/09/2012;2266;1924;5832
19/09/2012;2205;1905;6136
20/09/2012;2032;1767;5361
21/09/2012;1850;1614;5033
22/09/2012;1491;1295;3916
23/09/2012;1854;1645;4686
24/09/2012;2413;2095;6223
25/09/2012;2084;1793;5615
26/09/2012;2167;1872;5868
27/09/2012;1942;1684;5425
28/09/2012;1812;1589;4477
29/09/2012;1528;1332;3740
30/09/2012;1698;1476;4358
01/10/2012;2095;1799;5450
02/10/2012;2133;1842;5484
03/10/2012;2176;1878;5463
04/10/2012;2016;1738;5036
05/10/2012;1972;1709;5002
06/10/2012;1804;1559;4560
07/10/2012;1820;1569;4826
08/10/2012;2309;1972;6076
09/10/2012;2200;1907;5909
10/10/2012;2164;1833;5516
11/10/2012;2081;1811;5291
12/10/2012;2078;1755;5216
13/10/2012;1703;1472;4010
14/10/2012;1949;1665;4918
15/10/2012;2226;1920;5585
16/10/2012;2349;1974;5918
17/10/2012;2618;2218;6248
18/10/2012;2134;1828;5681
19/10/2012;1948;1698;4814
20/10/2012;1838;1586;4545
21/10/2012;2030;1804;5332
22/10/2012;2462;2091;6842
23/10/2012;2251;1949;5770
24/10/2012;2348;2063;6246
25/10/2012;2211;1896;5780
26/10/2012;2169;1918;5865
27/10/2012;2052;1746;4821
28/10/2012;2370;2077;5603
29/10/2012;2658;2352;7187
30/10/2012;2427;2117;6266
31/10/2012;2202;1906;5868
01/11/2012;2385;2090;6132
02/11/2012;2080;1772;5531
03/11/2012;1646;1456;4257
04/11/2012;1941;1711;5311
05/11/2012;2181;1899;5127
06/11/2012;1922;1649;4858
07/11/2012;1876;1625;4689
08/11/2012;1848;1590;4407
09/11/2012;1708;1510;4264
10/11/2012;1575;1371;3686
11/11/2012;1686;1471;4193
12/11/2012;1857;1618;5226
13/11/2012;1710;1464;4571
14/11/2012;1744;1513;4307
15/11/2012;1597;1408;3966
16/11/2012;1562;1354;4146
17/11/2012;1311;1121;3131
18/11/2012;1606;1398;3847
19/11/2012;1811;1512;5145
20/11/2012;1775;1521;4542
21/11/2012;1653;1423;4057
22/11/2012;1700;1435;4298
23/11/2012;1552;1321;3868
24/11/2012;1361;1173;3256
25/11/2012;1559;1366;3576
26/11/2012;1839;1573;5038
27/11/2012;1733;1470;5660
28/11/2012;1680;1396;4515
29/11/2012;1667;1437;4320
30/11/2012;1480;1273;3770
01/12/2012;1333;1173;3159
02/12/2012;1673;1469;3944
03/12/2012;1846;1612;4509
04/12/2012;1794;1552;4552
05/12/2012;1853;1602;4850
06/12/2012;1528;1319;3875
07/12/2012;1626;1395;3839
08/12/2012;1275;1110;3008
09/12/2012;1410;1232;3585
10/12/2012;1691;1426;4442
11/12/2012;1619;1351;3915
12/12/2012;1625;1404;3876
13/12/2012;1736;1473;4096
14/12/2012;1645;1388;4205
15/12/2012;1447;1255;3293
16/12/2012;1477;1298;3552
17/12/2012;1654;1424;4356
18/12/2012;1617;1397;3976
19/12/2012;1496;1279;3768
20/12/2012;1434;1261;3432
21/12/2012;1417;1221;3612
22/12/2012;1301;1158;3016
23/12/2012;1407;1239;3381
24/12/2012;1070;933;2285
25/12/2012;1065;933;2522
26/12/2012;1917;1701;5011
27/12/2012;2144;1869;5702
28/12/2012;1845;1640;4963
29/12/2012;1639;1476;4355
30/12/2012;1768;1557;4219
31/12/2012;1339;1172;3146
01/01/2013;1390;1240;3334
02/01/2013;1861;1629;4981
03/01/2013;1945;1692;5297
04/01/2013;1808;1579;4601
05/01/2013;1584;1387;4067
06/01/2013;1732;1545;4454
07/01/2013;2002;1736;5262
08/01/2013;1931;1677;5243
09/01/2013;1710;1492;4416
10/01/2013;1765;1564;4429
11/01/2013;1751;1557;4849
12/01/2013;999;906;2424
13/01/2013;1913;1693;4877
14/01/2013;2164;1904;5537
15/01/2013;2073;1812;5792
16/01/2013;2120;1826;6208
17/01/2013;2824;2461;6369
18/01/2013;3857;3263;7535
19/01/2013;2042;1794;4519
20/01/2013;2191;1949;5207
21/01/2013;2315;2010;5923
22/01/2013;2089;1838;5640
23/01/2013;2049;1821;5202
24/01/2013;1903;1682;4838
25/01/2013;2380;2125;6089
26/01/2013;1840;1634;4560
